Abbotsford, Campbell River, Chilliwack, Creston, Dawson Creek, Dease Lake, Fort Nelson, Golden, Hope, Houston, Kamloops, Kelowna, Kitwanga, Merritt , Nanaimo, Nelson, Osoyoos, Port Hardy, Prince George, Prince Rupert, Revelstoke, Salmon Arm, Valemount, Vancouver, Vernon, Victoria, Watson Lake, Whistler, Williams Lake
   0,    0,   38,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   66,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  155,    0,    0,  233,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
  38,    0,    0,    0,    0,    0,    0,    0,   54,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,  352,    0,    0,    0,    0,    0,    0,    0,  124,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,  453,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  403,    0,    0,    0,  647,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  484,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  256,    0,    0
   0,    0,    0,    0,  453,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  513,    0,    0
   0,    0,    0,  352,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  148,    0,  428,    0,    0,    0,    0,    0,    0
   0,    0,   54,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  120,    0,    0,  247,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  271,    0
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  179,    0,    0,    0,    0,    0,  307,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   89,    0,    0,    0,    0,    0,    0,    0,  109,  320,    0,  117,    0,    0,  299,  288
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  127,    0,    0,  123,    0,    0,    0,    0,    0,    0,    0,   52,    0,    0,    0,    0
   0,    0,    0,    0,    0,  484,    0,    0,    0,  179,    0,    0,    0,    0,    0,    0,    0,    0,    0,  242,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,    0,  120,    0,   89,  127,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,  155,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   85,    0,  111,    0,    0,    0
   0,    0,    0,  124,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  262,    0,    0,    0,  251,    0,    0,    0,  337,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,    0,  247,    0,    0,  123,    0,    0,    0,  262,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,  233,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  523,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,  403,    0,    0,    0,    0,  307,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  292,    0,    0,    0,    0,    0,  240
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  242,    0,    0,    0,    0,  523,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,  148,    0,    0,    0,    0,    0,    0,    0,  251,    0,    0,    0,    0,    0,  110,    0,    0,  147,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  109,    0,    0,    0,    0,    0,    0,    0,    0,    0,  110,    0,    0,    0,   60,    0,    0,    0,    0
   0,    0,    0,    0,  647,    0,    0,  428,    0,    0,  320,    0,    0,    0,    0,    0,    0,    0,  292,    0,    0,    0,    0,    0,    0,    0,    0,    0,  419
  66,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   85,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  124,    0
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  117,   52,    0,    0,    0,  337,    0,    0,    0,    0,  147,   60,    0,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  111,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,  256,  513,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   0,    0,    0,    0,    0,    0,    0,    0,  271,    0,  299,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  124,    0,    0,    0,    0,  398
   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  288,    0,    0,    0,    0,    0,    0,    0,  240,    0,    0,    0,  419,    0,    0,    0,    0,  398,    0
